Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
0,0,0,7715,0,0,1f31,001c,7985,7715,0
1,1,0,7715,0,0,e198,001c,8600,7715,0
2,2,0,7715,0,0,e0b7,001c,8375,7715,0
3,3,0,7715,0,0,1e62,001c,7778,7715,0
4,4,0,7715,0,0,1f8e,001c,8078,7715,0
5,5,0,7715,0,0,e1d7,001c,8663,7715,0
6,6,0,7715,0,0,e063,001c,8291,7715,0
7,7,0,7715,0,0,1e37,001c,7735,7715,0
8,8,0,7715,0,0,1fc0,001c,8128,7715,0
9,9,0,7715,0,0,e1c9,001c,8649,7715,0
10,10,0,7715,0,0,e02d,001c,8237,7715,0
11,11,0,7715,0,0,1e59,001c,7769,7715,0
12,12,0,7715,0,0,e00e,001c,8206,7715,0
13,13,0,7715,0,0,e1dd,001c,8669,7715,0
14,14,0,7715,0,0,1fe0,001c,8160,7715,0
15,15,0,7715,0,0,1e4f,001c,7759,7715,0
16,16,0,7715,0,0,e05f,001c,8287,7715,0
17,17,0,7715,0,0,e1ac,001c,8620,7715,0
18,18,0,7715,0,0,1f88,001c,8072,7715,0
19,19,0,7715,0,0,1e5a,001c,7770,7715,0
20,20,0,7715,0,0,eebe,001c,8894,7715,0
21,21,0,7715,0,0,e1b6,001c,8638,7715,0
22,22,0,7715,0,0,ffbe,001c,16318,7715,0
23,23,0,7715,0,0,1f7d,001c,8061,7715,0
24,24,0,7715,0,0,1e6d,001c,7789,7715,0
25,25,0,7715,0,0,e189,001c,8585,7715,0
26,26,0,7715,0,0,ed8c,001c,11648,7715,0
27,27,0,7715,0,0,1f0e,001c,7950,7715,0
28,28,0,7715,0,0,1eb8,001c,7864,7715,0
29,29,0,7715,0,0,e140,001c,8512,7715,0
30,30,0,7715,0,0,e152,001c,8530,7715,0
31,31,0,7715,0,0,1eb8,001c,7864,7715,0
32,32,0,7715,0,0,1eea,001c,7914,7715,0
33,33,0,7715,0,0,e190,001c,8592,7715,0
34,34,0,7715,0,0,e110,001c,8464,7715,0
35,35,0,7715,0,0,1e8b,001c,7819,7715,0
36,36,0,7715,0,0,1f4d,001c,8013,7715,0
37,37,0,7715,0,0,e1a1,001c,8609,7715,0
38,38,0,7715,0,0,e0c6,001c,8390,7715,0
39,39,0,7715,0,0,1e72,001c,7794,7715,0
40,40,0,7715,0,0,1f94,001c,8084,7715,0
41,41,0,7715,0,0,e1dc,001c,8668,7715,0
42,42,0,7715,0,0,e06f,001c,8303,7715,0
43,43,0,7715,0,0,1e39,001c,7737,7715,0
44,44,0,7715,0,0,1ff2,001c,8178,7715,0
45,45,0,7715,0,0,e1ee,001c,8686,7715,0
46,46,0,7715,0,0,e02e,001c,8238,7715,0
47,47,0,7715,0,0,1e4f,001c,7759,7715,0
48,48,0,7715,0,0,e025,001c,8229,7715,0
49,49,0,7715,0,0,e1f0,001c,8688,7715,0
50,50,0,7715,0,0,1ff1,001c,8177,7715,0
51,51,0,7715,0,0,1e56,001c,7766,7715,0
52,52,0,7715,0,0,e090,001c,8336,7715,0
53,53,0,7715,0,0,e1dc,001c,8668,7715,0
54,54,0,7715,0,0,1fa3,001c,8099,7715,0
55,55,0,7715,0,0,1e72,001c,7795,7715,0
56,56,0,7715,0,0,eef1,001c,8947,7715,0
57,57,0,7715,0,0,e1f9,001c,8633,7715,0
58,58,0,7715,0,0,ffbb,001c,16313,7715,0
59,59,0,7715,0,0,1fba,001c,8122,7715,0
60,60,0,7715,0,0,3fb8,001c,16312,7715,0
61,61,0,7715,0,0,e1be,001c,8632,7715,0
62,62,0,7715,0,0,e186,001c,8582,7715,0
63,63,0,7715,0,0,1ef8,001c,7928,7715,0
64,64,0,7715,0,0,1ee4,001c,7908,7715,0
65,65,0,7715,0,0,e158,001c,8536,7715,0
66,66,0,7715,0,0,e160,001c,8544,7715,0
67,67,0,7715,0,0,1ec1,001c,7873,7715,0
68,68,0,7715,0,0,1ef9,001c,7929,7715,0
69,69,0,7715,0,0,e1be,001c,8638,7715,0
70,70,0,7715,0,0,e138,001c,8504,7715,0
71,71,0,7715,0,0,1e7d,001c,7805,7715,0
72,72,0,7715,0,0,1f23,001c,7971,7715,0
73,73,0,7715,0,0,e1c3,001c,8643,7715,0
74,74,0,7715,0,0,e10f,001c,8463,7715,0
75,75,0,7715,0,0,1e89,001c,7817,7715,0
76,76,0,7715,0,0,1f7e,001c,8062,7715,0
77,77,0,7715,0,0,e1d6,001c,8662,7715,0
78,78,0,7715,0,0,e09f,001c,8351,7715,0
79,79,0,7715,0,0,1e50,001c,7760,7715,0
