Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
65,65,0,7571,0,1,1e86,001c,7814,7571,1,fffffba5ffffff57,0,0
66,66,0,7402,0,1,1f84,001c,8068,7402,1,fffffba5ffffff57,0,0
67,67,0,7365,0,1,24c4,001c,12228,7365,1,fffffba5ffffff57,0,0
68,68,0,7480,0,1,21d6,001c,8662,7480,1,fffffba5ffffff57,0,0
69,69,0,7753,0,1,23df,001c,9183,7753,1,fffffba5ffffff57,0,0
70,70,0,8009,0,1,23ff,001c,9215,8009,1,fffffba5ffffff57,0,0
71,71,0,8368,0,1,233f,001c,9023,8368,1,fffffba5ffffff57,0,0
72,72,0,8684,0,1,235d,001c,9053,8684,1,fffffba5ffffff57,0,0
73,73,0,8851,0,1,237d,001c,9085,8851,1,fffffba5ffffff57,0,0
74,74,0,8962,0,1,213f,001c,8511,8962,1,fffffba5ffffff57,0,0
75,75,0,8997,0,1,203f,001c,8255,8997,1,fffffba5ffffff57,0,0
76,76,0,8865,0,1,1ef5,001c,7925,8865,1,fffffba5ffffff57,0,0
77,77,0,8575,0,1,1de0,001c,7648,8575,1,fffffba5ffffff57,0,0
78,78,0,8274,0,1,1d19,001c,7449,8274,1,fffffba5ffffff57,0,0
79,79,0,7949,0,1,1ca1,001c,7329,7949,1,fffffba5ffffff57,0,0
80,80,0,7678,0,1,1d0a,001c,7434,7678,1,fffffba5ffffff57,0,0
81,81,0,7517,0,1,1de7,001c,7655,7517,1,fffffba5ffffff57,0,0
82,82,0,7388,0,1,1ed8,001c,7896,7388,1,fffffba5ffffff57,0,0
83,83,0,7400,0,1,2010,001c,8208,7400,1,fffffba5ffffff57,0,0
84,84,0,7565,0,1,2156,001c,8534,7565,1,fffffba5ffffff57,0,0
85,85,0,7884,0,1,2265,001c,8805,7884,1,fffffba5ffffff57,0,0
86,86,0,8228,0,1,2314,001c,8980,8228,1,fffffba5ffffff57,0,0
87,87,0,8507,0,1,232b,001c,9003,8507,1,fffffba5ffffff57,0,0
88,88,0,8760,0,1,22ce,001c,8910,8760,1,fffffba5ffffff57,0,0
89,89,0,8900,0,1,21ea,001c,8682,8900,1,fffffba5ffffff57,0,0
90,90,0,9024,0,1,20e7,001c,8423,9024,1,fffffba5ffffff57,0,0
91,91,0,8948,0,1,1fc6,001c,8134,8948,1,fffffba5ffffff57,0,0
92,92,0,8735,0,1,1e7e,001c,7806,8735,1,fffffba5ffffff57,0,0
93,93,0,8425,0,1,1d58,001c,7512,8425,1,fffffba5ffffff57,0,0
