Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
0,0,0,7940,0,0,feea,001c,7914,7940,0
1,1,0,7940,0,0,1eea,001c,7914,7940,0
2,2,0,7940,0,0,1e24,001c,7716,7940,0
3,3,0,7940,0,0,1f3f,001c,7999,7940,0
4,4,0,7940,0,0,1f3b,001c,7995,7940,0
5,5,0,7940,0,0,e17a,001c,8570,7940,0
6,6,0,7940,0,0,e154,001c,8528,7940,0
7,7,0,7940,0,0,e114,001c,8468,7940,0
8,8,0,7940,0,0,1ff7,001c,8183,7940,0
9,9,0,7940,0,0,1ea4,001c,7844,7940,0
10,10,0,7940,0,0,1deb,001c,7659,7940,0
11,11,0,7940,0,0,1e31,001c,7729,7940,0
12,12,0,7940,0,0,1f4a,001c,8010,7940,0
13,13,0,7940,0,0,e07a,001c,8314,7940,0
14,14,0,7940,0,0,e163,001c,8547,7940,0
15,15,0,7940,0,0,e0ef,001c,8431,7940,0
16,16,0,7940,0,0,1f98,001c,8088,7940,0
17,17,0,7940,0,0,1e6b,001c,7787,7940,0
18,18,0,7940,0,0,1ddc,001c,7644,7940,0
19,19,0,7940,0,0,1e5e,001c,7774,7940,0
20,20,0,7940,0,0,1fa0,001c,8096,7940,0
21,21,0,7940,0,0,e0d0,001c,8400,7940,0
22,22,0,7940,0,0,e136,001c,8502,7940,0
23,23,0,7940,0,0,e08e,001c,8334,7940,0
24,24,0,7940,0,0,1f39,001c,7993,7940,0
25,25,0,7940,0,0,1e34,001c,7732,7940,0
26,26,0,7940,0,0,1dcc,001c,7628,7940,0
27,27,0,7940,0,0,1e62,001c,7778,7940,0
28,28,0,7940,0,0,1fc3,001c,8131,7940,0
29,29,0,7940,0,0,e0f2,001c,8434,7940,0
30,30,0,7940,0,0,e153,001c,8531,7940,0
31,31,0,7940,0,0,e06b,001c,8299,7940,0
32,32,0,7940,0,0,1eff,001c,7935,7940,0
33,33,0,7940,0,0,1df3,001c,7667,7940,0
34,34,0,7940,0,0,1de1,001c,7651,7940,0
35,35,0,7940,0,0,1fef,001c,8175,7940,0
36,36,0,7940,0,0,feef,001c,16111,7940,0
37,37,0,7940,0,0,e177,001c,8567,7940,0
38,38,0,7940,0,0,e13f,001c,8511,7940,0
